,별점,내용,작성일,작성시간,공감,비공감
0,10,어제의 너 보다 오늘 더 성장했는데~? ㅋㅋ 명대사! 너무재밌었어요!! +_+ 기대이상이었습니다~,2020-10-21,13:53:00,1836,362
1,10,2020년 본 영화중에 가장 기분 좋게 본 영화같아요,2020-10-21,15:43:00,1652,307
2,10,근래 본 영화 중 최고! 박혜수 진짜 너무 귀여워ㅜㅜ,2020-10-21,15:36:00,1442,289
3,10,억지신파 내용 아니라서 더 맘에 들어요 배우들 케미 좋네요ㅎㅎ,2020-10-21,15:44:00,1267,275
4,10,정의로운 세상을 꿈꾸게 되는 영화였습니다 좋아요ㅎㅎ,2020-10-21,13:52:00,1114,260
5,9,사회적으로 시사하는바가 좋습니다. 꼭 한번 보시기를강추합니다.,2020-10-21,15:48:00,1019,217
6,10,다들 어찌 95년생 직장인 연기가 이리 찰떡이란말이오 ㅋㅋ,2020-10-21,15:53:00,906,218
7,10,추억의 노래와 갬성! 이 정도로 재밌을줄 몰랐는데 너무 재밌게 봤다!,2020-10-21,11:44:00,692,171
8,10,고아성은 여기서도 폐수를 ㅎㅎ,2020-10-21,15:43:00,644,164
9,10,진짜 기대안햇는데 재밌어..,2020-10-21,15:41:00,609,169
10,10,이솜 진짜...옷빨 미쳣다 ㅋ 촌스러운 옷들도 찰떡같이 잘어울려 ㅋㅋ,2020-10-21,16:50:00,203,46
11,10,타일러 나오는것도 괜시리 반갑고 리얼햇음 ㅋㅋ,2020-10-21,15:39:00,188,44
12,6,평점보고 본건데 저는 개인적으로 엄청 재밋진않았어요 ㅠㅠㅠ,2020-10-23,16:17:00,247,117
13,10,기분 좋아지고 힘나는 영화,2020-10-21,17:58:00,170,41
14,10,레트로감성 제대로 느껴지더만요 옛날이나 지금이나 직장 생활은 똑같네요,2020-10-21,15:12:00,177,48
15,10,짜임새 있고 지루하지 않고 의미도 있음.,2020-10-21,19:08:00,180,51
16,10,세명의 여자주인공들 캐미 미쳣어요 ㅎㅎ,2020-10-21,17:31:00,180,51
17,10,후.. 오늘부터 박혜수 팬이다,2020-10-21,17:10:00,182,53
18,10,아이캔두잇 유캔두잇 위캔두잇!!+_+,2020-10-21,17:12:00,187,58
19,10,사회 부조리에 맞서는 그녀들 ! 너무 멋있다,2020-10-21,18:01:00,194,65
20,8,"생각보가 재밋었지만 뭔가 결말부분에선 살짝 오그라드는 느낌이 들었습니다,,",2020-10-25,00:02:00,163,35
21,10,이솜 캐릭터 소화력 미쳣당 ㅋ,2020-10-21,17:11:00,170,42
22,10,이거 보는데 왜케 꽈배기가 먹고싶던지 ㅋㅋ,2020-10-21,17:30:00,174,46
23,10,저때 직장 생활 한 사람들은 더 공감될듯,2020-10-21,16:51:00,175,47
24,10,보기전엔 캐스팅보고 의아햇는데 보고나니 진짜 완벽햇다는 생각이 ㅎ,2020-10-21,17:30:00,176,48
25,10,아니 시간 남아서 아무 생각없이 본 영환데 개재밌게 봤어요ㅠㅠㅠ 이건 주위 사람들에게도 무조건 추천하고 싶음!!!,2020-10-21,20:30:00,175,48
26,10,ㅋㅋㅋ진짜 회사다녀본 사람들은 다 공감할만한 내용~! 결말까지 맘에듬,2020-10-21,15:11:00,184,58
27,10,"사람들의 니즈를 완벽히 파악한 영화,고작 여성들이 주체성을 회복하는 자체가 페미라고 생각하는 사람들은 어떤 세상을 살아온걸까? 그것이 제일 궁금하다 ^_^",2020-10-27,12:33:00,257,132
28,10,"현실감, 몰입감, 긴장감 다 있는 영화ㅋㅋ",2020-10-21,19:40:00,177,55
29,10,배우들 캐미 좋구요~  사회초년생들이 보면 심히 공감 될것 같아요~,2020-10-21,15:37:00,177,60
30,10,와 시간가는줄 몰랐어요 ㅋㅋ,2020-10-21,16:09:00,162,56
31,10,진심 올해 극장 개봉한 영화들 중 최고임,2020-10-21,18:33:00,163,61
32,10,고아성은 정말.. 주인공의 얼굴을 가지고 있다. 용감한 사람들이 정의롭게 이기는 이야기.,2020-10-22,14:30:00,140,43
33,10,세 배우의 캐릭터가 뚜렷해서 더 좋음 ㅋㅋ,2020-10-22,16:44:00,131,35
34,10,리얼한 연출 리얼한 연기ㅋㅋ 굿재미,2020-10-21,18:34:00,137,50
35,10,뻔하지만 뻔하지 않은 영화ㅋㅋ 연기도 훌륭하고 음악도 좋네요,2020-10-23,12:41:00,115,38
36,9,"가뭄에 단 비 같다. 끔찍한 시체도 피도, 싸이코패스도 없다. 유쾌함과 지금 우리 시대가 가져야 하는 여성에 대한 시선만을 남겼다.",2020-11-03,10:56:00,97,28
37,10,시원시원하게 잘봤어요! 뭔가 엄마한테 보여주고 싶은 영화입니다!,2020-10-21,19:14:00,115,46
38,8,여자들의 회사생활에 공감 가는게 많네요... 안타까운현실도 있고..  그렇지만 밝고 씩씩한 영화라 재미있게봤어요.,2020-10-26,00:51:00,125,57
39,6,,2020-11-01,14:01:00,159,91
40,2,평점보고 기대했었는데 정말 실망이에요   ㅠㅠ,2020-11-01,16:31:00,201,134
41,10,배우들 옷 보는 재미도 쏠쏠하고 95년도면 내가 초딩땐데 지금이나 그때나 직장 생활은 다 똑같구나,2020-10-21,15:55:00,103,38
42,10,"웃음, 재미, 감동 다 잡았다!",2020-10-21,16:49:00,109,44
43,2,하... 1도 재미없고 오그라드는 영화.. 전형적인 오그라드는 연출과 각본.. 알바들이 평점 다올려놨네 낚이지마세여,2020-11-01,20:09:00,262,199
44,1,"뻔한 스토리, 비현실적 진행, 과도한 오버 연출, 돈아깝다.",2020-10-29,00:18:00,327,268
