"측정날짜","측정소 행정코드","측정소명","통합대기환경지수 등급","통합대기환경지수","지수결정물질","이산화질소 농도(단위:ppm)","오존 농도(단위:ppm)","일산화탄소 농도(단위:ppm)","아황산가스 농도(단위:ppm)","미세먼지 농도(단위:㎍/㎥)","초미세먼지 농도(단위:㎍/㎥)"
"202011271400","111123","종로구","보통","71","PM25","0.015","0.026","0.4","0.004","27","17"
"202011271400","111121","중구","보통","70","PM10","0.015","0.024","0.4","0.003","30","16"
"202011271400","111131","용산구","보통","67","PM10","0.012","0.019","0.4","0.004","31","16"
"202011271400","111142","성동구","보통","68","PM25","0.024","0.026","0.4","0.004","28","18"
"202011271400","111141","광진구","보통","69","PM25","0.013","0.017","0.5","0.002","25","17"
"202011271400","111152","동대문구","보통","68","PM25","0.013","0.025","0.4","0.003","25","17"
"202011271400","111151","중랑구","보통","63","PM25","0.016","0.021","0.4","0.003","27","16"
"202011271400","111161","성북구","보통","64","PM10","0.019","0.019","0.4","0.003","42","13"
"202011271400","111291","강북구","보통","63","PM25","0.008","0.024","0.4","0.004","30","18"
"202011271400","111171","도봉구","보통","62","PM25","0.006","0.029","0.3","0.003","19","17"
"202011271400","111311","노원구","보통","71","PM25","0.011","0.029","0.4","0.003","30","20"
"202011271400","111181","은평구","보통","68","PM25","0.011","0.028","0.5","0.004","28","13"
"202011271400","111191","서대문구","보통","56","PM10","0.013","0.024","0.6","0.004","21","10"
"202011271400","111201","마포구","보통","56","PM25","0.013","0.021","0.4","0.004","27","19"
"202011271400","111301","양천구","보통","66","PM25","0.013","0.027","0.4","0.005","29","16"
"202011271400","111212","강서구","보통","64","PM10","0.012","0.027","0.4","0.004","28","16"
"202011271400","111221","구로구","보통","60","PM10","0.012","0.024","0.3","0.004","35","15"
"202011271400","111281","금천구","보통","62","PM25","0.015","0.011","0.4","점검중","30","18"
"202011271400","111231","영등포구","보통","63","PM25","0.014","0.021","0.5","0.004","28","16"
"202011271400","111241","동작구","보통","62","PM25","0.012","0.025","0.3","0.003","31","18"
"202011271400","111251","관악구","보통","58","PM25","0.016","0.022","0.4","0.003","27","16"
"202011271400","111262","서초구","점검중","-99","점검중","0.013","0.024","0.4","0.004","점검중","15"
"202011271400","111261","강남구","보통","62","PM25","0.017","0.021","0.4","0.004","22","15"
"202011271400","111273","송파구","보통","63","PM25","0.018","0.024","0.5","0.004","25","10"
"202011271400","111274","강동구","보통","71","PM25","0.014","0.024","0.3","0.003","26","15"
