,광역시도,시군구,20-39세,20-39세,20-39세,65세이상,65세이상,65세이상,인구수,인구수,인구수,소멸비율,소멸위기지역
구분,,,계,남자,여자,계,남자,여자,계,남자,여자,,
0,강원, 강릉시,46008.0,25015.0,20993.0,40497.0,17378.0,23119.0,203057.0,101154.0,101903.0,1.036768155665852,False
1,강원, 고성군,4006.0,2307.0,1699.0,7005.0,2957.0,4048.0,23621.0,11933.0,11688.0,0.48508208422555316,True
2,강원, 동해시,16311.0,8801.0,7510.0,16152.0,7075.0,9077.0,83888.0,42093.0,41795.0,0.9299157999009411,True
3,강원, 삼척시,12428.0,7148.0,5280.0,14953.0,6314.0,8639.0,61833.0,31630.0,30203.0,0.7062128001070019,True
4,강원, 속초시,15928.0,8517.0,7411.0,14010.0,5866.0,8144.0,76302.0,37488.0,38814.0,1.0579586009992863,False
5,강원, 양구군,4656.0,2640.0,2016.0,4123.0,1784.0,2339.0,19900.0,10272.0,9628.0,0.9779286926994907,True
6,강원, 양양군,4020.0,2210.0,1810.0,7405.0,3240.0,4165.0,25125.0,12599.0,12526.0,0.4888588791357191,True
7,강원, 영월군,4983.0,2756.0,2227.0,10051.0,4458.0,5593.0,34342.0,17530.0,16812.0,0.4431399860710377,True
8,강원, 원주시,83196.0,42417.0,40779.0,46837.0,20273.0,26564.0,329874.0,163155.0,166719.0,1.7413156265345773,False
9,강원, 인제군,6320.0,3581.0,2739.0,5793.0,2591.0,3202.0,28219.0,14807.0,13412.0,0.9456240290005179,True
10,강원, 정선군,5007.0,2785.0,2222.0,8810.0,3861.0,4949.0,32728.0,16876.0,15852.0,0.5044267877412032,True
11,강원, 철원군,8373.0,4606.0,3767.0,9045.0,3866.0,5179.0,40147.0,20255.0,19892.0,0.8329463792150359,True
12,강원, 춘천시,66567.0,33573.0,32994.0,44624.0,19112.0,25512.0,265695.0,129655.0,136040.0,1.4787558264610972,False
13,강원, 태백시,6857.0,3646.0,3211.0,9412.0,4029.0,5383.0,40467.0,20307.0,20160.0,0.6823204419889503,True
14,강원, 평창군,5597.0,3053.0,2544.0,10304.0,4586.0,5718.0,37624.0,19034.0,18590.0,0.4937888198757764,True
15,강원, 홍천군,10966.0,5979.0,4987.0,15824.0,7127.0,8697.0,62531.0,31608.0,30923.0,0.6303083923154702,True
16,강원, 화천군,5189.0,3023.0,2166.0,4863.0,2112.0,2751.0,21700.0,11302.0,10398.0,0.8908081431215299,True
17,강원, 횡성군,6502.0,3457.0,3045.0,11883.0,5461.0,6422.0,41427.0,20919.0,20508.0,0.5124968442312547,True
18,경기, 가평군,10406.0,5558.0,4848.0,13649.0,6146.0,7503.0,55249.0,27803.0,27446.0,0.7103817129460034,True
19,경기, 고양시,128212.0,62050.0,66162.0,63268.5,27046.0,36222.5,494500.0,239407.5,255092.5,2.0914673178595984,False
20,경기, 과천시,13196.0,6591.0,6605.0,7335.0,3162.0,4173.0,52389.0,25565.0,26824.0,1.8009543285616905,False
21,경기, 광명시,79498.0,39648.0,39850.0,39032.0,16971.0,22061.0,300735.0,146975.0,153760.0,2.0419143267062925,False
22,경기, 광주시,95920.0,48965.0,46955.0,43492.0,20397.0,23095.0,350406.0,177168.0,173238.0,2.1592476777338363,False
23,경기, 구리시,50331.0,24794.0,25537.0,23685.0,10527.0,13158.0,187625.0,91954.0,95671.0,2.1563858982478363,False
24,경기, 군포시,71824.0,36221.0,35603.0,31741.0,14067.0,17674.0,261123.0,128228.0,132895.0,2.2433445701143633,False
25,경기, 김포시,107755.0,52409.0,55346.0,49106.0,22095.0,27011.0,410416.0,203616.0,206800.0,2.2541440964444264,False
26,경기, 남양주시,158873.0,77365.0,81508.0,86857.0,38743.0,48114.0,658410.0,324619.0,333791.0,1.8768320342632143,False
27,경기, 동두천시,19995.0,10289.0,9706.0,16535.0,6964.0,9571.0,87789.0,43473.0,44316.0,1.1739945570003023,False
28,경기, 부천시,225145.0,112609.0,112536.0,97382.0,43543.0,53839.0,789832.0,388300.0,401532.0,2.311227947670001,False
29,경기, 성남시,122983.0,61044.5,61938.5,59075.0,26130.0,32945.0,440429.5,215982.0,224447.5,2.0969445619974607,False
30,경기, 수원시,137743.2,70064.4,67678.8,46976.0,20497.6,26478.4,454143.2,226291.2,227852.0,2.8814202997275205,False
31,경기, 시흥시,130804.0,68532.0,62272.0,38348.0,16991.0,21357.0,451166.0,232951.0,218215.0,3.247731302805883,False
32,경기, 안산시,119341.33333333333,61960.0,57381.333333333336,41268.0,18042.666666666668,23225.333333333332,414666.0,209361.33333333334,205304.66666666666,2.780911763755614,False
33,경기, 안성시,43275.0,22884.0,20391.0,28371.0,12554.0,15817.0,174023.0,88473.0,85550.0,1.4374537379718726,False
34,경기, 안양시,99396.66666666667,49927.333333333336,49469.333333333336,45190.666666666664,20170.666666666668,25020.0,358764.0,175824.66666666666,182939.33333333334,2.1893606349393684,False
35,경기, 양주시,49259.0,24905.0,24354.0,30411.0,13728.0,16683.0,207734.0,103990.0,103744.0,1.6016572950577095,False
36,경기, 양평군,18583.0,9537.0,9046.0,25713.0,11886.0,13827.0,105056.0,52233.0,52823.0,0.703612958425699,True
37,경기, 여주시,21655.0,11327.0,10328.0,20924.0,9549.0,11375.0,102076.0,51516.0,50560.0,0.9871917415408143,True
38,경기, 연천군,8293.0,4787.0,3506.0,10094.0,4433.0,5661.0,39677.0,20488.0,19189.0,0.6946701010501288,True
39,경기, 오산시,66228.0,34598.0,31630.0,19071.0,8445.0,10626.0,215639.0,110191.0,105448.0,3.3170782864034396,False
40,경기, 용인시,127636.5,62587.5,65049.0,62920.5,28270.0,34650.5,494882.0,243764.5,251117.5,2.0676568050158535,False
